provinsi,2015_p,2016_p,2017_p,2018_p,2019_p,2020_p
ACEH,5018.7,5094.5,5169.4,5243.4,5316.3,5388.1
SUMATERA UTARA,13961.4,14136.8,14308.4,14476.0,14639.4,14798.4
SUMATERA BARAT,5200.9,5272.5,5342.8,5411.8,5479.5,5545.7
RIAU,6356.7,6478.4,6598.7,6717.6,6835.1,6951.2
JAMBI,3403.9,3445.9,3487.0,3527.1,3566.2,3604.2
SUMATERA SELATAN,8062.7,8174.1,8283.8,8391.5,8497.2,8600.8
BENGKULU,1875.9,1900.7,1924.9,1948.6,1971.8,1994.3
LAMPUNG,8123.0,8210.3,8295.3,8377.7,8457.6,8534.8
KEP. BANGKA BELITUNG,1373.3,1393.1,1412.7,1432.1,1451.1,1469.8
KEP. RIAU,1982.8,2045.3,2109.4,2174.8,2241.6,2309.5
DKI JAKARTA,10179.0,10265.3,10348.3,10428.0,10504.1,10576.4
JAWA BARAT,46805.2,47365.8,47922.8,48475.5,49023.2,49565.2
JAWA TENGAH,33728.9,33946.4,34156.4,34358.5,34552.5,34738.2
DI YOGYAKARTA,3669.2,3718.5,3768.2,3818.3,3868.6,3919.2
JAWA TIMUR,38784.3,39041.4,39287.3,39521.9,39744.8,39955.9
BANTEN,11967.6,12157.2,12345.0,12530.8,12714.3,12895.3
BALI,4148.4,4202.4,4256.0,4309.2,4362.0,4414.4
NUSA TENGGARA BARAT,4846.7,4924.8,5001.8,5077.7,5152.4,5225.9
NUSA TENGGARA TIMUR,5126.1,5204.7,5282.8,5360.3,5437.2,5513.4
KALIMANTAN BARAT,4795.5,4859.9,4923.1,4985.1,5045.7,5104.9
KALIMANTAN TENGAH,2497.3,2536.3,2574.8,2612.6,2649.8,2686.3
KALIMANTAN SELATAN,3990.7,4049.5,4106.8,4162.4,4216.3,4268.6
KALIMANTAN TIMUR,3431.3,3479.6,3527.1,3573.8,3619.7,3664.7
KALIMANTAN UTARA,644.5,657.3,670.0,682.8,695.6,708.4
SULAWESI UTARA,2409.7,2432.2,2453.7,2474.4,2494.1,2512.9
SULAWESI TENGAH,2878.0,2919.8,2961.1,3001.9,3042.1,3081.7
SULAWESI SELATAN,8520.8,8598.6,8674.4,8748.1,8819.5,8888.8
SULAWESI TENGGARA,2502.7,2543.1,2583.4,2623.6,2663.7,2703.5
GORONTALO,1133.6,1144.8,1155.6,1166.1,1176.4,1186.3
SULAWESI BARAT,1281.7,1301.4,1320.9,1340.1,1359.2,1378.1
MALUKU,1690.3,1710.4,1730.2,1749.5,1768.5,1787.1
MALUKU UTARA,1167.1,1184.5,1201.7,1218.8,1235.7,1252.3
PAPUA BARAT,876.0,897.6,919.4,941.4,963.6,986.0
PAPUA,3153.8,3203.4,3252.2,3300.2,3347.1,3393.1
INDONESIA,255587.9,258496.5,261355.5,264161.6,266911.9,269603.4
