NAME_1,2015_fix,2016_fix,2017_fix,2018_fix,2019_fix, 2020_fix , jumlah_penduduk_2015 , jumlah_penduduk_2016 , jumlah_penduduk_2017 , jumlah_penduduk_2018 , jumlah_penduduk_2019 ,jumlah_penduduk_2020
Aceh,752805,866065,1188962,1625454,1913868,3721410,5018700,5094500,5169400,5243400,5316300,5388100
Sumatera Utara,2513052,2827360,4006352,4921840,6002154,11720332,13961400,14136800,14308400,14476000,14639400,14798400
Sumatera Barat,1196207,1318125,1602840,1948248,2246595,5008263,5200900,5272500,5342800,5411800,5479500,5545700
Riau,1462041,1684384,2111584,2687040,3075795,4463320,6356700,6478400,6598700,6717600,6835100,6951200
Jambi,680780,758098,941490,1269756,1533466,2385325,3403900,3445900,3487000,3527100,3566200,3604200
Sumatera Selatan,1451286,1634820,2153788,2769195,3228936,6950709,8062700,8174100,8283800,8391500,8497200,8600800
Bengkulu,375180,418154,519723,643038,808438,1498568,1875900,1900700,1924900,1948600,1971800,1994300
Lampung,1055990,1313648,1824966,2680864,3383040,5269085,8123000,8210300,8295300,8377700,8457600,8534800
Bangka Belitung,274660,320413,409683,529877,667506,1124602,1373300,1393100,1412700,1432100,1451100,1469800
Kepulauan Riau,733636,838573,1012512,1174392,1457040,1943467,1982800,2045300,2109400,2174800,2241600,2309500
Jakarta Raya,4784130,5132650,6312463,6882480,7667993,8928485,10179000,10265300,10348300,10428000,10504100,10576400
Jawa Barat,11233248,13262424,17731436,21813974,26472529,35100611,46805200,47365800,47922800,48475500,49023200,49565200
Jawa Tengah,6745780,8147136,10588484,13399815,16585200,26536320,33728900,33946400,34156400,34358500,34552500,34738200
Yogyakarta,1284220,1450215,1695690,2100065,2398532,2746706,3669200,3718500,3768200,3818300,3868600,3919200
Jawa Timur,8144703,9369936,12179063,15413540,18680056,26350802,38784300,39041400,39287300,39521900,39744800,39955900
Banten,3111576,3647160,4567650,6014784,7120008,9980725,11967600,12157200,12345000,12530800,12714300,12895300
Bali,1203036,1428816,1659840,1982232,2355480,3411084,4148400,4202400,4256000,4309200,4362000,4414400
Nusa Tenggara Barat,678538,886464,1150414,1421756,2009436,3766404,4846700,4924800,5001800,5077700,5152400,5225900
Nusa Tenggara Timur,512610,676611,950904,1125663,1413672,3338440,5126100,5204700,5282800,5360300,5437200,5513400
Kalimantan Barat,767280,923381,1181544,1545381,1917366,3920509,4795500,4859900,4923100,4985100,5045700,5104900
Kalimantan Tengah,499460,583349,746692,940536,1245406,2005898,2497300,2536300,2574800,2612600,2649800,2686300
Kalimantan Selatan,917861,1093365,1273108,1706584,2108150,3259199,3990700,4049500,4106800,4162400,4216300,4268600
Kalimantan Timur,1098016,1322248,1481382,1786900,2135623,2855943,3431300,3479600,3527100,3573800,3619700,3664700
KALIMANTAN UTARA,154680,203763,241200,320916,375624,591260,644500,657300,670000,682800,695600,708400
Sulawesi Utara,578328,705338,858795,1014504,1172227,1960362,2409700,2432200,2453700,2474400,2494100,2512900
Sulawesi Tengah,460480,525564,740275,870551,1095156,2260280,2878000,2919800,2961100,3001900,3042100,3081700
Sulawesi Selatan,1789368,2063664,2602320,3236797,3880580,5750314,8520800,8598600,8674400,8748100,8819500,8888800
Sulawesi Tenggara,425459,534051,671684,865788,1118754,2320083,2502700,2543100,2583400,2623600,2663700,2703500
Gorontalo,204048,240408,312012,408135,494088,667018,1133600,1144800,1155600,1166100,1176400,1186300
Sulawesi Barat,153804,195210,264180,348426,421352,883480,1281700,1301400,1320900,1340100,1359200,1378100
Maluku,287351,342080,415248,524850,601290,1520910,1690300,1710400,1730200,1749500,1768500,1787100
Maluku Utara,128381,165830,228323,316888,358353,824211,1167100,1184500,1201700,1218800,1235700,1252300
Papua Barat,157680,179520,248238,338904,414348,722700,876000,897600,919400,941400,963600,986000
Papua,283842,384408,552874,660040,736362,2901936,3153800,3203400,3252200,3300200,3347100,3393100
INDONESIA,56099516,65443231,84425719,105289213,127094423,196688761,255587900,258496500,261355500,264161600,266911900,269603400
